sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary,state
177,1,59,Central,60,Others,Commerce,56,Comm&Mgmt,No,55,Mkt&HR,57.9,Placed,220000,Tamil Nadu
178,1,73,Central,97,Others,Commerce,79,Comm&Mgmt,Yes,89,Mkt&Fin,70.81,Placed,650000,Tamil Nadu
179,0,68,Others,56,Others,Science,68,Sci&Tech,No,73,Mkt&HR,68.07,Placed,350000,Tamil Nadu
180,1,77.8,Central,64,Central,Science,64.2,Sci&Tech,No,75.5,Mkt&HR,72.14,Not Placed,,Tamil Nadu
181,0,65,Central,71.5,Others,Commerce,62.8,Comm&Mgmt,Yes,57,Mkt&Fin,56.6,Placed,265000,Tamil Nadu
182,0,62,Central,60.33,Others,Science,64.21,Sci&Tech,No,63,Mkt&HR,60.02,Not Placed,,Tamil Nadu
183,0,52,Others,65,Others,Arts,57,Others,Yes,75,Mkt&Fin,59.81,Not Placed,,Tamil Nadu
184,0,65,Central,77,Central,Commerce,69,Comm&Mgmt,No,60,Mkt&HR,61.82,Placed,276000,Tamil Nadu
185,1,56.28,Others,62.83,Others,Commerce,59.79,Comm&Mgmt,No,60,Mkt&HR,57.29,Not Placed,,Tamil Nadu
186,1,88,Central,72,Central,Science,78,Others,No,82,Mkt&HR,71.43,Placed,252000,Tamil Nadu
187,1,52,Central,64,Central,Commerce,61,Comm&Mgmt,No,55,Mkt&Fin,62.93,Not Placed,,Tamil Nadu
188,0,78.5,Central,65.5,Central,Science,67,Sci&Tech,Yes,95,Mkt&Fin,64.86,Placed,280000,Tamil Nadu
189,0,61.8,Others,47,Others,Commerce,54.38,Comm&Mgmt,No,57,Mkt&Fin,56.13,Not Placed,,Tamil Nadu
190,1,54,Central,77.6,Others,Commerce,69.2,Comm&Mgmt,No,95.65,Mkt&Fin,66.94,Not Placed,,Tamil Nadu
191,1,64,Others,70.2,Central,Commerce,61,Comm&Mgmt,No,50,Mkt&Fin,62.5,Not Placed,,Tamil Nadu
192,0,67,Others,61,Central,Science,72,Comm&Mgmt,No,72,Mkt&Fin,61.01,Placed,264000,Tamil Nadu
193,0,65.2,Central,61.4,Central,Commerce,64.8,Comm&Mgmt,Yes,93.4,Mkt&Fin,57.34,Placed,270000,Tamil Nadu
194,1,60,Central,63,Central,Arts,56,Others,Yes,80,Mkt&HR,56.63,Placed,300000,Tamil Nadu
195,0,52,Others,55,Others,Commerce,56.3,Comm&Mgmt,No,59,Mkt&Fin,64.74,Not Placed,,Tamil Nadu
196,0,66,Central,76,Central,Commerce,72,Comm&Mgmt,Yes,84,Mkt&HR,58.95,Placed,275000,Tamil Nadu
197,0,72,Others,63,Others,Science,77.5,Sci&Tech,Yes,78,Mkt&Fin,54.48,Placed,250000,Tamil Nadu
198,1,83.96,Others,53,Others,Science,91,Sci&Tech,No,59.32,Mkt&HR,69.71,Placed,260000,Tamil Nadu
199,1,67,Central,70,Central,Commerce,65,Others,No,88,Mkt&HR,71.96,Not Placed,,Tamil Nadu
200,0,69,Others,65,Others,Commerce,57,Comm&Mgmt,No,73,Mkt&HR,55.8,Placed,265000,Tamil Nadu
201,0,69,Others,60,Others,Commerce,65,Comm&Mgmt,No,87.55,Mkt&Fin,52.81,Placed,300000,Tamil Nadu
202,0,54.2,Central,63,Others,Science,58,Comm&Mgmt,No,79,Mkt&HR,58.44,Not Placed,,Tamil Nadu
